data,descricao,valor,tipo,categoria,categoria_divida,tipo_pagamento,status
2024-01-05,Pagamento Cartão Nubank,-850.00,despesa,cartao_credito,pagamento_divida,debito,confirmado
2024-01-08,Supermercado Extra,-320.50,despesa,alimentacao,gasto_essencial,credito,confirmado
2024-01-10,Salário,3500.00,receita,salario,receita,transferencia,confirmado
2024-01-12,Empréstimo Consignado,-450.00,despesa,emprestimo,pagamento_divida,debito,confirmado
2024-01-15,Netflix,-39.90,despesa,assinatura,gasto_nao_essencial,credito,confirmado
2024-01-18,Farmácia,-125.00,despesa,saude,gasto_essencial,debito,confirmado
2024-01-20,Uber,-89.50,despesa,transporte,gasto_nao_essencial,credito,confirmado
2024-01-22,Parcela Celular,-180.00,despesa,parcelamento,pagamento_divida,boleto,confirmado
2024-01-25,Aluguel,-1200.00,despesa,moradia,gasto_essencial,transferencia,confirmado
2024-01-28,Conta de Luz,-145.30,despesa,utilidades,gasto_essencial,debito,confirmado
2024-02-05,Pagamento Cartão Nubank,-900.00,despesa,cartao_credito,pagamento_divida,debito,confirmado
2024-02-08,Ifood,-78.90,despesa,alimentacao,gasto_nao_essencial,credito,confirmado
2024-02-10,Salário,3500.00,receita,salario,receita,transferencia,confirmado
